     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,04/18/2015-04/24/2015,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                             
R001,WHITEHALL STREET              ,00060462,00002394,00000313,00000888,00000302,00028802,00033174,00000000,00000000,00000000,00000005,00001073,00000721,00000632,00003598,00001281,00000420,00000000,00001100,00000000,00000000,00000000,00000000,                                                                                                                               
R003,CYPRESS HILLS                 ,00003351,00000179,00000030,00000037,00000000,00002557,00001467,00000000,00000000,00000000,00000000,00000028,00000077,00000005,00000112,00000014,00000003,00000000,00000026,00000000,00000000,00000000,00000000,                                                                                                                               
R004,75TH STREET & ELDERTS LANE    ,00008298,00000481,00000053,00000150,00000009,00005629,00004657,00000000,00000000,00000000,00000000,00000104,00000233,00000000,00000250,00000035,00000053,00000000,00000084,00000000,00000000,00000000,00000000,                                                                                                                               
R005,85TH STREET & FOREST PKWAY    ,00009484,00000589,00000036,00000182,00000000,00006025,00005316,00000000,00000000,00000000,00000000,00000076,00000251,00000000,00000247,00000048,00000080,00000000,00000077,00000000,00000000,00000000,00000000,                                                                                                                               
R006,WOODHAVEN BOULEVARD           ,00009209,00000606,00000059,00000177,00000001,00007950,00006397,00000000,00000000,00000000,00000000,00000147,00000231,00000012,00000348,00000069,00000051,00000000,00000097,00000000,00000000,00000000,00000000,                                                                                                                               
R007,104TH STREET                  ,00006799,00000313,00000036,00000068,00000003,00004307,00003127,00000000,00000000,00000000,00000000,00000044,00000130,00000000,00000204,00000027,00000025,00000000,00000044,00000000,00000000,00000000,00000000,                                                                                                                               
R008,111TH STREET                  ,00005910,00000285,00000039,00000055,00000010,00003874,00002859,00000000,00000000,00000000,00000000,00000045,00000111,00000008,00000175,00000034,00000020,00000000,00000055,00000000,00000000,00000000,00000000,                                                                                                                               
R009,121ST STREET                  ,00005344,00000298,00000037,00000075,00000011,00004140,00002830,00000000,00000000,00000000,00000000,00000045,00000103,00000000,00000147,00000064,00000032,00000000,00000044,00000000,00000000,00000000,00000000,                                                                                                                               
R010,42ND STREET & 8TH AVENUE      ,00095728,00004939,00000397,00001256,00000157,00054532,00059135,00000000,00000000,00000000,00000005,00000865,00001184,00000212,00004010,00001478,00000880,00000000,00002375,00000000,00000000,00000000,00000000,                                                                                                                               
R011,42ND STREET & 8TH AVENUE      ,00255354,00011061,00000515,00001636,00000166,00048087,00077893,00000000,00000000,00000000,00000008,00002796,00004479,00000122,00004828,00005148,00001364,00000000,00002595,00000000,00000000,00000000,00000000,                                                                                                                               
R012,34TH STREET & 8TH AVENUE      ,00220805,00009058,00000511,00001727,00004477,00050058,00077192,00000000,00000000,00000000,00000011,00002372,00002906,00006243,00005426,00006155,00001448,00000000,00003036,00000000,00000000,00000000,00000000,                                                                                                                               
R013,34TH STREET & 8TH AVENUE      ,00046657,00002150,00000174,00000729,00000766,00017852,00030625,00000000,00000000,00000000,00000005,00000772,00000268,00001815,00001881,00001244,00000499,00000000,00000848,00000000,00000000,00000000,00000000,                                                                                                                               
R014,FULTON STREET                 ,00115015,00004143,00000291,00000881,00000873,00040448,00070586,00000000,00000000,00000000,00000024,00001823,00000771,00001653,00006306,00002345,00001241,00000000,00001621,00000000,00000000,00000000,00000000,                                                                                                                               
R015,FIFTH AVENUE                  ,00078878,00003101,00000089,00000368,00001004,00018979,00034475,00000000,00000000,00000000,00000006,00002155,00000387,00001577,00003599,00002999,00000570,00000000,00001185,00000000,00000000,00000000,00000000,                                                                                                                               
R016,LEXINGTON AVENUE              ,00020721,00001114,00000076,00000208,00000112,00006906,00013219,00000000,00000000,00000000,00000006,00000462,00000108,00000117,00001126,00000601,00000247,00000000,00000245,00000000,00000000,00000000,00000000,                                                                                                                               
R017,LEXINGTON AVENUE              ,00104264,00006173,00000238,00001103,00000870,00029219,00063558,00000000,00000001,00000000,00000009,00002250,00000823,00001346,00005057,00003538,00001255,00000000,00001488,00000000,00000000,00000000,00000000,                                                                                                                               
R018,ROOSEVELT AVE/JACKSON HTS     ,00091508,00007635,00000978,00002963,00000047,00071977,00112737,00000000,00000001,00000000,00000001,00000812,00001807,00000080,00005509,00000840,00000813,00000000,00001172,00000000,00000000,00000000,00000000,                                                                                                                               
R019,179TH STREET & HILLSIDE AVE   ,00033583,00002228,00000317,00000998,00000018,00022721,00030888,00000000,00000000,00000000,00000000,00000718,00000797,00000020,00002642,00000511,00000201,00000000,00000135,00000000,00000000,00000000,00000000,                                                                                                                               
