     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,05/02/2015-05/08/2015,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                             
R001,WHITEHALL STREET              ,00061327,00002419,00000339,00000922,00000377,00031631,00032827,00000000,00000000,00000000,00000003,00001043,00000938,00000585,00003582,00001315,00000371,00000000,00001332,00000000,00000000,00000000,00000000,                                                                                                                               
R003,CYPRESS HILLS                 ,00003431,00000214,00000039,00000033,00000000,00002601,00001448,00000000,00000000,00000000,00000000,00000025,00000079,00000006,00000120,00000016,00000004,00000000,00000036,00000000,00000000,00000000,00000000,                                                                                                                               
R004,75TH STREET & ELDERTS LANE    ,00008458,00000536,00000051,00000151,00000002,00005651,00004604,00000000,00000000,00000000,00000000,00000105,00000250,00000000,00000256,00000034,00000048,00000000,00000076,00000000,00000000,00000000,00000000,                                                                                                                               
R005,85TH STREET & FOREST PKWAY    ,00009735,00000608,00000033,00000182,00000001,00006060,00005423,00000000,00000000,00000000,00000001,00000100,00000287,00000000,00000249,00000060,00000066,00000000,00000072,00000000,00000000,00000000,00000000,                                                                                                                               
R006,WOODHAVEN BOULEVARD           ,00009490,00000616,00000048,00000166,00000001,00008198,00006405,00000000,00000000,00000000,00000000,00000145,00000283,00000013,00000359,00000077,00000049,00000000,00000094,00000000,00000000,00000000,00000000,                                                                                                                               
R007,104TH STREET                  ,00006932,00000357,00000037,00000058,00000005,00004325,00003194,00000000,00000000,00000000,00000000,00000056,00000129,00000000,00000199,00000020,00000027,00000000,00000059,00000000,00000000,00000000,00000000,                                                                                                                               
R008,111TH STREET                  ,00006043,00000276,00000040,00000062,00000007,00003764,00002860,00000000,00000000,00000000,00000000,00000049,00000139,00000007,00000174,00000030,00000022,00000000,00000038,00000000,00000000,00000000,00000000,                                                                                                                               
R009,121ST STREET                  ,00005502,00000302,00000034,00000087,00000013,00004400,00002815,00000000,00000000,00000000,00000000,00000057,00000151,00000001,00000146,00000058,00000050,00000000,00000079,00000000,00000000,00000000,00000000,                                                                                                                               
R010,42ND STREET & 8TH AVENUE      ,00093059,00004951,00000425,00001225,00000188,00056373,00057060,00000000,00000000,00000000,00000003,00000908,00001291,00000170,00004051,00001402,00000877,00000000,00002684,00000000,00000000,00000000,00000000,                                                                                                                               
R011,42ND STREET & 8TH AVENUE      ,00235812,00011160,00000588,00001607,00000161,00047026,00073765,00000000,00000000,00000000,00000005,00002610,00004853,00000092,00004812,00004608,00001304,00000000,00002743,00000000,00000000,00000000,00000000,                                                                                                                               
R012,34TH STREET & 8TH AVENUE      ,00212590,00009327,00000663,00001843,00005561,00050361,00076595,00000000,00000000,00000000,00000006,00002357,00003184,00006233,00005587,00005937,00001413,00000000,00003443,00000000,00000000,00000000,00000000,                                                                                                                               
R013,34TH STREET & 8TH AVENUE      ,00045384,00002138,00000244,00000713,00000942,00017830,00028846,00000000,00000000,00000000,00000005,00000737,00000286,00001805,00001937,00001234,00000483,00000000,00001068,00000000,00000000,00000000,00000000,                                                                                                                               
R014,FULTON STREET                 ,00115398,00004217,00000314,00000878,00001084,00042762,00070984,00000000,00000000,00000000,00000005,00001829,00000950,00001608,00006508,00002293,00001210,00000000,00001919,00000000,00000000,00000000,00000000,                                                                                                                               
R015,FIFTH AVENUE                  ,00075017,00003128,00000074,00000419,00001276,00019182,00033394,00000000,00000000,00000000,00000003,00002087,00000432,00001493,00003588,00002808,00000615,00000000,00001289,00000000,00000000,00000000,00000000,                                                                                                                               
R016,LEXINGTON AVENUE              ,00019657,00001092,00000064,00000220,00000112,00006907,00012876,00000000,00000000,00000000,00000001,00000463,00000118,00000118,00001082,00000555,00000240,00000000,00000258,00000000,00000001,00000000,00000000,                                                                                                                               
R017,LEXINGTON AVENUE              ,00103542,00006131,00000222,00001071,00001130,00030578,00063402,00000000,00000000,00000000,00000008,00002318,00000877,00001395,00005343,00003407,00001206,00000000,00001701,00000000,00000000,00000000,00000000,                                                                                                                               
R018,ROOSEVELT AVE/JACKSON HTS     ,00092360,00007964,00001013,00003034,00000031,00072636,00112568,00000000,00000000,00000000,00000002,00000843,00001889,00000073,00005641,00000798,00000770,00000000,00001248,00000000,00000000,00000000,00000000,                                                                                                                               
R019,179TH STREET & HILLSIDE AVE   ,00033687,00002349,00000334,00001077,00000025,00023413,00030888,00000000,00000000,00000000,00000001,00000738,00000965,00000018,00002687,00000456,00000198,00000000,00000163,00000000,00000000,00000000,00000000,                                                                                                                               
R020,47-50 STREETS/ROCKEFELLER     ,00149250,00008355,00000557,00001427,00000831,00060181,00099997,00000000,00000000,00000000,00000026,00004048,00001225,00000944,00011349,00003846,00001626,00000000,00002060,00000000,00000000,00000000,00000000,                                                                                                                               
R021,42ND STREET & 6TH AVENUE      ,00094147,00005067,00000374,00001216,00000195,00041832,00081074,00000000,00000000,00000000,00000007,00002878,00000857,00000128,00007902,00002199,00001214,00000000,00001330,00000000,00000000,00000000,00000000,                                                                                                                               
R022,34TH STREET & 6TH AVENUE      ,00185934,00010266,00000787,00002230,00001039,00093758,00132630,00000000,00000000,00000000,00000021,00002677,00002391,00001087,00010394,00002724,00001755,00000000,00002930,00000000,00000000,00000000,00000000,                                                                                                                               
R023,34TH STREET & 6TH AVENUE      ,00145012,00007003,00000522,00001544,00000712,00045757,00088644,00000000,00000000,00000000,00000004,00002743,00001446,00000877,00006638,00003164,00001467,00000000,00001533,00000000,00000000,00000000,00000000,                                                                                                                               
